Channel Name,CSR,SCSR,TR,QL,TL,RA,BM,OM,MGMT,Team Name,Title,,Date Created,Comments,POC Departament,Channel Owner
Channel 1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Alerts TN TWW - CQ OC TN TWW - CQ OC TN TWW - VGO PS TN TWW - EN TN TWW - CQ TN TWW,QL - TL - MGMT - OM,,2023-01-01,,VM,vinted@vinted.com
Channel 2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,EN TN TWW - IT AL TWW - FR PL TWW - PL PL TWW,MGMT - BM - OM,,2023-01-02,,MS - P&S,vinted@vinted.com
Channel 3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,IT EG TP - IT EG TP,CSR - TR - OM - MGMT - TL,,2023-01-03,,VM,vinted@vinted.com
Channel 4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EN GY TP - FR TN TWW - IT TN TWW - IT EG TP - CZ CZ TP - ES CO TWW - DE AL TWW - VGO MP TN TWW - EN LT PLCH - EN CO TWW - ES PT TWW - FR PL TWW - ES UA HW - IT AL TWW - PL UA HW - EN TN TWW - EN UA HW - HU RO TP - IT EG TP,TL - QL - MGMT - CSR - TR - OM - SCSR - RA - BM,,2023-01-04,,MS - P&S,vinted@vinted.com
Channel 5,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,ES UA HW - PL UA HW - EN UA HW - Alerts LT TWW - PL PL TWW,TL - QL - SCSR,,2023-01-05,,VM,vinted@vinted.com
Channel 6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,EN TN TWW - EN CO TWW,MGMT - RA - OM - MGMT,,2023-01-06,,VM,vinted@vinted.com
Channel 7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,ES CO TWW - EN CO TWW - EN TN TWW,TL - QL - RA - MGMT - TR - OM - MGMT,,2023-01-07,,VM,vinted@vinted.com
Channel 8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,LT LT TWW - Alerts LT TWW - LT LT TWW - CQ LT TWW,MGMT - QL - BM - TL,,2023-01-08,,VM,vinted@vinted.com
Channel 9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EN UA HW,QL,,2023-01-09,,VM,vinted@vinted.com
Channel 10,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,LT LT TWW - EN TN TWW - VGO PS TN TWW - CQ LT TWW - EN UA HW - CQ TN TWW - CQ OC TN TWW,MGMT - BM - TL - QL,,2023-01-10,,VM,vinted@vinted.com
Channel 11,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,IT TN TWW - EN TN TWW - CQ OC TN TWW - CQ TN TWW - CQ OC TN TWW,MGMT - BM - QL - OM - TL,,2023-01-11,,VM,vinted@vinted.com
Channel 12,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,IT TN TWW - EN TN TWW - CQ OC TN TWW - CQ OC TN TWW - VGO PS TN TWW - CQ TN TWW,MGMT - BM - TL - QL,,2023-01-15,,VM,vinted@vinted.com
Channel 13,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Alerts LT TWW - LT LT TWW - CQ LT TWW - CQ OC LT TWW,TL - MGMT - QL - BM,,2023-01-12,,VM,vinted@vinted.com
Channel 14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EN UA HW,QL,,2023-01-13,,VM,vinted@vinted.com
