Team_Name,CSR_Total,SCSR_Total,A_Specialisation,B_Specialisation,C_Specialisation,D_Specialisation,E_Specialisation
CZ CZ TP,5,6,0,0,0,0,11
DE AL TWW,41,1,14,22,3,3,0
DE TN TWW,37,0,0,23,4,10,0
ECC TN TWW,4,1,0,3,0,2,0
EN CO TWW,144,1,26,82,21,16,0
EN EG TP,244,3,51,119,46,31,0
EN KE TP,28,0,14,14,0,0,0
EN TN TWW,430,7,74,325,18,20,0
EN UA HW,285,13,125,59,89,25,0
ES CO TWW,43,0,8,28,3,4,0
ES UA HW,26,3,5,11,8,5,0
FI EE PLCH,5,1,0,0,0,0,6
FR MA OS,57,0,0,41,16,0,0
FR TN OS,184,0,69,96,10,9,0
FR TN TWW,109,4,27,58,1,27,0
GR GR TP,3,2,0,0,0,0,5
HR GR TP,4,2,0,0,0,0,6
HU RO TP,0,8,0,0,0,0,8
IT AL TWW,71,1,22,26,11,13,0
IT EG TP,30,0,9,21,0,0,0
LT LT TWW,2,3,0,0,0,0,5
PL PL TWW,64,5,23,17,17,12,0
PT PT TWW,11,2,0,0,0,0,13
RO RO TP,0,4,0,0,0,0,4
SFP TN TWW,6,1,0,7,0,0,0
SK CZ TP,2,2,0,0,0,0,4
TSO Account LT TWW,26,1,0,0,0,0,0
TSO Account TN TWW,34,5,0,0,0,0,0
TSO Catalog LT TWW,24,1,0,0,0,0,0
TSO Catalog TN TWW,25,5,0,0,0,0,0
TSO OC LT TWW,34,2,0,0,0,0,0
TSO OC TN TWW,36,9,0,0,0,0,0
VGO MP TN TWW,28,0,0,0,0,0,0
VGO PS PT TWW,6,0,0,0,0,0,0
VGO PS TN TWW,36,0,0,0,0,0,0
