Team_Name,CSR_total,SCSR_total,MGMT_total,TL_total,BM_total,QL_total
CZ CZ TP,5,6,0,0,0,1
DE AL TWW,41,1,0,2,0,1
DE TN TWW,37,0,0,3,0,1
DK LT PLCH,0,0,0,0,0,0
ECC TN TWW,4,1,0,0,0,0
EN CO TWW,144,1,6,8,0,5
EN EG TP,244,3,2,15,2,9
EN KE TP,28,0,3,3,1,2
EN TN TWW,430,7,5,23,2,13
EN UA HW,285,13,2,18,0,13
ES CO TWW,43,0,0,4,0,1
ES UA HW,26,3,0,2,0,1
FI EE PLCH,5,1,0,1,0,0
FR MA OS,57,0,0,5,0,5
FR TN OS,184,0,0,13,3,10
FR TN TWW,109,4,0,5,0,3
GR GR TP,3,2,0,0,0,0
HR GR TP,4,2,2,1,0,1
HU RO TP,0,8,0,0,0,0
IT AL TWW,71,1,0,5,1,2
IT EG TP,30,0,3,3,0,1
LT LT TWW,2,3,1,1,0,0
PL PL TWW,64,5,1,5,1,3
PT PT TWW,11,2,0,1,0,1
RO RO TP,0,4,4,1,0,1
SE LT PLCH,0,0,0,1,0,0
SFP TN TWW,6,1,0,0,0,0
SK CZ TP,2,2,0,0,0,0
TSO Account LT TWW,26,1,0,1,0,1
TSO Account TN TWW,34,5,1,2,0,1
TSO Catalog LT TWW,24,1,0,1,0,2
TSO Catalog TN TWW,25,5,0,3,0,1
TSO OC LT TWW,34,2,0,2,0,0
TSO OC TN TWW,36,9,0,3,0,2
VGO MP TN TWW,28,0,1,1,0,1
VGO PS PT TWW,6,0,0,1,0,1
VGO PS TN TWW,36,0,0,1,1,2
